Symbol,Name,Price(Intraday),Change,%Change,Volume,Avg Vol(3 month),Market Cap,PE Ratio(TTM),Type
IMP.HM,Imperial Oil Ltd,45.58,-0.08,-0.18%,,0,,,Energy
PQQ0.DU,Harbour Energy PLC,2.9630,0.047,+1.61%,250,0,,,Energy
AFZ.BE,Africa Oil Corp,1.9290,-0.0065,-0.34%,"1,000",17,,,Energy
SPEA.BE,Saipem SpA,1.2485,-0.011,-0.87%,"1,291",22,,,Energy
33H2.BE,Trench Metals Corp,0.1420,0.006,+4.41%,"7,999","2,105",,,Energy
8LP1.BE,Laredo Petroleum Inc,38.74,0.33,+0.86%,200,0,,,Energy
4BD.BE,Hunter Group ASA,0.0097,-0.0005,-4.90%,"260,360",0,,,Energy
BNB.BE,PT Bayan Resources Tbk,0.9400,-0.005,-0.53%,100,0,,,Energy
43C.DU,Cactus Inc,36.80,0.0,0.00%,,0,,,Energy
CHU.DU,China Petroleum & Chemical Corp,0.5310,-0.015,-2.75%,"1,000",50,,,Energy
FL9.MU,CVR Energy Inc,25.24,0.04,+0.16%,100,1,,,Energy
PTTG.DU,PTT Exploration & Production PCL,3.8800,0.04,+1.04%,500,0,,,Energy
DEH.DU,Delek US Holdings Inc,21.20,-0.2,-0.93%,62,1,,,Energy
7PS.BE,PrairieSky Royalty Ltd,16.00,0.0,0.00%,150,0,,,Energy
CJ1.SG,Norwegian Energy Co ASA,35.25,0.55,+1.59%,0,38,,,Energy
ETX.BE,Etablissements Maurel & Prom,3.9460,-0.186,-4.50%,400,4,,,Energy
EQ6.SG,EQT Corp,36.30,0.44,+1.23%,0,71,,,Energy
TOTA.SG,TotalEnergies SE,53.00,-1.5,-2.75%,0,26,,,Energy
NVAC.SG,Banpu PCL,0.2260,0.002,+0.89%,0,0,,,Energy
6P4.MU,Petrus Resources Ltd,0.9850,0.0,0.00%,900,15,,,Energy
YCP.MU,ConocoPhillips,95.50,1.01,+1.07%,33,9,,,Energy
68V.MU,Baker Hughes Co,27.26,-0.19,-0.71%,28,0,,,Energy
U6Z.MU,Uranium Energy Corp,2.9605,0.004,+0.14%,60,483,,,Energy
ENI1.SG,Eni SpA,25.80,0.2,+0.78%,0,5,,,Energy
3B8.SG,ShaMaran Petroleum Corp,0.0310,-0.0008,-2.52%,0,"1,140",,,Energy
GPI1.MU,China Oil And Gas Group Ltd,0.0260,0.0,0.00%,"20,000",350,,,Energy
KWE1.BE,Ring Energy Inc,1.6900,0.0,0.00%,"1,400",0,,,Energy
TOTA.MU,TotalEnergies SE,53.50,-0.5,-0.93%,200,16,,,Energy
FL9.DU,CVR Energy Inc,25.24,0.02,+0.08%,185,0,,,Energy
9TA1.BE,Tamarack Valley Energy Ltd,2.2600,0.0,0.00%,,0,,,Energy
X9P.MU,ChampionX Corp,26.00,0.0,0.00%,,0,,,Energy
ME7.MU,MEG Energy Corp,14.16,0.0,0.00%,15,0,,,Energy
9TG.DU,Gaztransport et technigaz SA,95.70,4.4,+4.82%,220,0,,,Energy
SB9.DU,Sitio Royalties Corp.,24.20,-0.2,-0.82%,250,0,3.874B,,Energy
DM5.MU,DMC Global Inc,15.40,0.0,0.00%,80,1,,,Energy
SA2D.SG,SandRidge Energy Inc,13.06,0.57,+4.56%,0,0,,,Energy
CS1.BE,Chesapeake Energy Corp,73.53,-1.33,-1.78%,5,0,,,Energy
TW11.MU,Tenaris SA,12.93,0.01,+0.04%,300,140,,,Energy
MEF.BE,PT Medco Energi Internasional Tbk,0.0455,0.0,0.00%,"50,000",0,,,Energy
TD9.BE,Tidewater Inc,39.76,0.2,+0.51%,120,0,,,Energy
TOTA.BE,TotalEnergies SE,52.50,-1.0,-1.87%,45,1,,,Energy
J4V.MU,Var Energi ASA,2.4920,0.016,+0.65%,"7,000",71,,,Energy
4LT1.DU,Northern Oil & Gas Inc,29.74,-0.66,-2.17%,70,1,,,Energy
HAL.SG,Halliburton Co,30.00,0.1,+0.33%,100,123,,,Energy
2S3.BE,APA Corp,31.47,-0.14,-0.44%,100,0,,,Energy
T2K1.F,Transportadora de Gas del Sur SA,11.10,0.2,+1.83%,91,21,,,Energy
REP.MU,Repsol SA,13.58,0.14,+1.08%,400,36,,,Energy
G1P0.SG,Gran Tierra Energy Inc,4.8760,-0.022,-0.45%,0,55,,,Energy
7EX.SG,Enerflex Ltd,5.55,0.0,0.00%,0,0,,,Energy
17J.SG,Journey Energy Inc,3.7000,-0.08,-2.12%,0,186,,,Energy
CGD.MU,CNX Resources Corp,15.80,0.0,0.00%,100,0,,,Energy
D8EN.DU,DHT Holdings Inc,8.07,0.15,+1.89%,500,8,,,Energy
E2M.SG,ElectroMagnetic GeoServices ASA,0.2170,0.007,+3.33%,0,586,,,Energy
EQ6.BE,EQT Corp,35.44,0.06,+0.17%,33,1,,,Energy
DR0.BE,Deutsche Rohstoff AG,28.45,-0.2,-0.70%,200,20,,,Energy
PNK.MU,Pioneer Natural Resources Co,186.50,-0.3,-0.16%,15,1,,,Energy
HF6.BE,Frontline Plc,13.94,-0.18,-1.27%,600,19,,,Energy
83PN.MU,Valeura Energy Inc,1.2900,0.01,+0.78%,"5,843",112,,,Energy
8DA1.BE,InPlay Oil Corp,1.6800,0.017,+1.02%,350,6,,,Energy
ATI.MU,Athabasca Oil Corp,1.9280,0.0,0.00%,"3,000",52,,,Energy
NVA3.SG,Ptt PCL,0.7800,0.005,+0.65%,0,89,,,Energy
0V4.MU,Valvoline Inc,33.80,-0.4,-1.17%,100,1,,,Energy
CLZ.DU,Ampol Ltd,19.00,-0.1,-0.52%,,0,,,Energy
9WY.BE,Texas Pacific Land Corp,"1,246.00",0.0,0.00%,2,0,,,Energy
HPC.MU,Helmerich & Payne Inc,32.02,0.35,+1.11%,402,0,,,Energy
0ZQ.MU,National Atomic Co Kazatomprom JSC,25.60,0.7,+2.81%,300,181,,,Energy
A64.MU,Adaro Energy Indonesia Tbk PT,0.1310,0.001,+0.77%,950,"1,222",,,Energy
7A6.DU,Antero Resources Corp,20.58,0.74,+3.73%,100,0,,,Energy
6W8.SG,Empire Petroleum Corp,8.85,-1.1,-11.06%,,0,,,Energy
4DS.BE,Daldrup & Söhne AG,11.10,-0.25,-2.20%,30,19,,,Energy
1SD.MU,Smart Sand Inc,1.5100,0.05,+3.42%,282,15,,,Energy
U6Z.DU,Uranium Energy Corp,2.9510,0.0315,+1.08%,"2,300",155,,,Energy
T2K1.MU,Transportadora de Gas del Sur SA,11.60,0.0,0.00%,37,2,,,Energy
PJXB.MU,Petroleo Brasileiro SA Petrobras,5.61,0.04,+0.63%,"2,000",244,,,Energy
0GY.DU,Gear Energy Ltd,0.6550,-0.01,-1.50%,100,0,,,Energy
5XU.DU,Topaz Energy Corp,14.30,0.1,+0.70%,,0,,,Energy
5VE.BE,Vertex Energy Inc,5.30,-0.12,-2.12%,47,1,,,Energy
TRS.MU,TC Energy Corp,37.88,-0.01,-0.03%,600,0,,,Energy
ENI1.MU,Eni SpA,26.00,0.2,+0.78%,200,3,,,Energy
CGD.BE,CNX Resources Corp,15.70,0.2,+1.29%,50,0,,,Energy
MUQ.MU,Murphy Oil Corp,35.13,0.2,+0.57%,108,31,,,Energy
SOCA.HA,Subsea 7 SA,9.55,-0.25,-2.55%,,0,,,Energy
WWY1.F,E-Commodities Holdings Ltd,0.1170,0.001,+0.86%,"2,619",81,,,Energy
OMV.SG,OMV AG,39.98,0.95,+2.43%,460,373,,,Energy
I7B.MU,Idemitsu Kosan Co Ltd,18.80,0.0,0.00%,30,1,,,Energy
VBO.BE,CGN Mining Co Ltd,0.1040,0.0,0.00%,"10,000",0,,,Energy
FL9.BE,CVR Energy Inc,25.24,0.26,+1.04%,330,0,,,Energy
MUQ.DU,Murphy Oil Corp,34.94,-0.34,-0.96%,30,0,,,Energy
TWZ.BE,Trican Well Service Ltd,2.3400,0.06,+2.63%,"7,000",0,,,Energy
CVZ.MU,Vermilion Energy Inc,11.16,0.14,+1.27%,29,0,,,Energy
PC6.BE,PetroChina Co Ltd,0.6794,0.0156,+2.35%,140,62,,,Energy
WTT0.BE,Elevate Uranium Ltd,0.2060,0.008,+4.04%,"7,500",157,,,Energy
NC2B.HM,CNOOC Ltd,1.2900,0.01,+0.78%,"2,000",70,,,Energy
NO8.DU,NOV Inc,14.20,0.1,+0.71%,50,0,,,Energy
HLPN.SG,Hellenic Petroleum Holdings Societe Anonyme,8.06,0.07,+0.88%,0,7,,,Energy
R66.SG,Phillips 66,89.22,1.68,+1.92%,50,11,,,Energy
TRS.SG,TC Energy Corp,37.34,-0.24,-0.65%,0,54,,,Energy
K20A.BE,Strong Petrochemical Holdings Ltd,0.0190,0.0,0.00%,0,0,,,Energy
B5X.BE,Baytex Energy Corp,3.0440,-0.008,-0.26%,"2,500",0,,,Energy
LQZ.BE,Thai Oil PCL,1.1500,-0.02,-1.71%,0,0,,,Energy
HPC.SG,Helmerich & Payne Inc,31.84,0.76,+2.45%,0,0,,,Energy
C0Y.BE,Cardinal Energy Ltd,4.7200,0.02,+0.43%,200,0,,,Energy
N5Z.BE,North American Construction Group Ltd,17.60,0.2,+1.15%,46,0,,,Energy
68F0.BE,Technip Energies NV,19.85,0.75,+3.93%,20,0,,,Energy
HGJ1.DU,Denbury Inc,80.00,-1.0,-1.23%,3,0,,,Energy
TD9.SG,Tidewater Inc,40.36,0.92,+2.33%,0,38,,,Energy
58R.SG,HighPeak Energy Inc,13.50,-0.6,-4.26%,0,12,,,Energy
9KG.BE,NexTier Oilfield Solutions Inc,8.56,0.02,+0.19%,,0,,,Energy
NVA3.SG,Ptt PCL,0.7800,0.005,+0.65%,0,89,,,Energy
0V4.MU,Valvoline Inc,33.80,-0.4,-1.17%,100,1,,,Energy
CLZ.DU,Ampol Ltd,19.00,-0.1,-0.52%,,0,,,Energy
CGD.MU,CNX Resources Corp,15.80,0.0,0.00%,100,0,,,Energy
17J.SG,Journey Energy Inc,3.7000,-0.08,-2.12%,0,186,,,Energy
E2M.SG,ElectroMagnetic GeoServices ASA,0.2170,0.007,+3.33%,0,586,,,Energy
OMV.SG,OMV AG,39.98,0.95,+2.43%,460,373,,,Energy
I7B.MU,Idemitsu Kosan Co Ltd,18.80,0.0,0.00%,30,1,,,Energy
7GU.SG,GoviEx Uranium Inc,0.0942,-0.003,-3.09%,0,"9,367",,,Energy
MUQ.MU,Murphy Oil Corp,35.13,0.2,+0.57%,108,31,,,Energy
SOCA.HA,Subsea 7 SA,9.55,-0.25,-2.55%,,0,,,Energy
REP.MU,Repsol SA,13.58,0.14,+1.08%,400,36,,,Energy
G1P0.SG,Gran Tierra Energy Inc,4.8760,-0.022,-0.45%,0,55,,,Energy
WWY1.F,E-Commodities Holdings Ltd,0.1170,0.001,+0.86%,"2,619",81,,,Energy
ATI.MU,Athabasca Oil Corp,1.9280,0.0,0.00%,"3,000",52,,,Energy
D8EN.DU,DHT Holdings Inc,8.07,0.15,+1.89%,500,8,,,Energy
9WY.BE,Texas Pacific Land Corp,"1,246.00",0.0,0.00%,2,0,,,Energy
VBO.BE,CGN Mining Co Ltd,0.1040,0.0,0.00%,"10,000",0,,,Energy
FL9.BE,CVR Energy Inc,25.24,0.26,+1.04%,330,0,,,Energy
MUQ.DU,Murphy Oil Corp,34.94,-0.34,-0.96%,30,0,,,Energy
TWZ.BE,Trican Well Service Ltd,2.3400,0.06,+2.63%,"7,000",0,,,Energy
ME7.MU,MEG Energy Corp,14.16,0.0,0.00%,15,0,,,Energy
59FE.SG,Fluxys Belgium SA,26.80,0.1,+0.37%,0,3,,,Energy
3B8.SG,ShaMaran Petroleum Corp,0.0310,-0.0008,-2.52%,0,"1,140",,,Energy
7T2.MU,Talos Energy Inc,12.79,0.02,+0.12%,200,0,,,Energy
KWE1.BE,Ring Energy Inc,1.6900,0.0,0.00%,"1,400",0,,,Energy
ENI1.SG,Eni SpA,25.80,0.2,+0.78%,0,5,,,Energy
GPI1.MU,China Oil And Gas Group Ltd,0.0260,0.0,0.00%,"20,000",350,,,Energy
HLPN.MU,Hellenic Petroleum Holdings Societe Anonyme,8.03,0.02,+0.25%,650,64,,,Energy
TRS.SG,TC Energy Corp,37.34,-0.24,-0.65%,0,54,,,Energy
HPC.SG,Helmerich & Payne Inc,31.84,0.76,+2.45%,0,0,,,Energy
F3DC.MU,Fugro NV,14.29,0.0,0.00%,2,0,,,Energy
IS5.BE,International Seaways Inc,34.58,-0.28,-0.80%,50,0,,,Energy
N5Z.BE,North American Construction Group Ltd,17.60,0.2,+1.15%,46,0,,,Energy
EP7.SG,Evolution Petroleum Corp,7.50,0.15,+2.04%,0,18,,,Energy
PEJ.BE,PrimeEnergy Resources Corp,85.00,0.5,+0.59%,100,0,,,Energy
PQ51.BE,Paramount Resources Ltd,20.00,0.4,+2.04%,105,0,,,Energy
V1L.MU,Valero Energy Corp,104.20,0.0,0.00%,12,0,,,Energy
A07.BE,Avance Gas Holding Ltd,7.86,0.22,+2.88%,200,21,,,Energy
PEN.DU,PBF Energy Inc,36.60,0.15,+0.41%,2,7,,,Energy
REP.HM,Repsol SA,13.50,0.02,+0.15%,100,40,,,Energy
68F0.BE,Technip Energies NV,19.85,0.75,+3.93%,20,0,,,Energy
YPF.MU,YPF SA,12.20,0.6,+5.17%,"2,400",42,,,Energy
134.SG,Seplat Energy PLC,1.3700,0.01,+0.74%,0,30,,,Energy
1AKA.MU,Aker Solutions ASA,3.2300,0.0,0.00%,408,14,,,Energy
U6Z.MU,Uranium Energy Corp,2.9605,0.004,+0.14%,60,483,,,Energy
WFK.BE,World Fuel Services Corp,21.40,-0.8,-3.60%,160,0,,,Energy
YCP.HA,ConocoPhillips,95.04,0.52,+0.55%,15,0,,,Energy
VAW.BE,VAALCO Energy Inc,3.6400,0.0,0.00%,40,0,,,Energy
DR0.DU,Deutsche Rohstoff AG,28.50,0.05,+0.18%,10,0,,,Energy
TOTA.BE,TotalEnergies SE,52.50,-1.0,-1.87%,45,1,,,Energy
K20A.BE,Strong Petrochemical Holdings Ltd,0.0190,0.0,0.00%,0,0,,,Energy
J4V.MU,Var Energi ASA,2.4920,0.016,+0.65%,"7,000",71,,,Energy
4LT1.DU,Northern Oil & Gas Inc,29.74,-0.66,-2.17%,70,1,,,Energy
B5X.BE,Baytex Energy Corp,3.0440,-0.008,-0.26%,"2,500",0,,,Energy
LQZ.BE,Thai Oil PCL,1.1500,-0.02,-1.71%,0,0,,,Energy
HAL.SG,Halliburton Co,30.00,0.1,+0.33%,100,123,,,Energy
2S3.BE,APA Corp,31.47,-0.14,-0.44%,100,0,,,Energy
C0Y.BE,Cardinal Energy Ltd,4.7200,0.02,+0.43%,200,0,,,Energy
6D40.MU,Delek Group Ltd,10.80,0.0,0.00%,100,20,,,Energy
HAL.DU,Halliburton Co,29.86,-0.22,-0.73%,10,0,,,Energy
HGJ1.DU,Denbury Inc,80.00,-1.0,-1.23%,3,0,,,Energy
TD9.SG,Tidewater Inc,40.36,0.92,+2.33%,0,38,,,Energy
NC2B.SG,CNOOC Ltd,1.3000,0.01,+0.78%,"19,500","6,525",,,Energy
G1V.BE,MC Mining Ltd,0.0865,0.0,0.00%,"50,000",0,,,Energy
43C.BE,Cactus Inc,37.60,0.4,+1.08%,0,0,,,Energy
2KE.SG,Kelt Exploration Ltd,3.6400,0.04,+1.11%,0,0,,,Energy
RLI.MU,Reliance Industries Ltd,57.00,0.0,0.00%,30,15,,,Energy
E36.SG,SeaBird Exploration PLC,0.3105,-0.005,-1.58%,0,0,,,Energy
SER1.BE,PetroTal Corp,0.4480,-0.001,-0.22%,"7,000",122,,,Energy
0ZQ.SG,National Atomic Co Kazatomprom JSC,24.90,-0.9,-3.49%,"2,695",394,,,Energy
CJ1.MU,Norwegian Energy Co ASA,35.65,0.6,+1.71%,339,11,,,Energy
0GY.BE,Gear Energy Ltd,0.6750,0.01,+1.50%,"2,250",0,,,Energy
BSC2.DU,Earthstone Energy Inc,12.22,-0.27,-2.16%,253,0,,,Energy
BYNN.SG,Rubis SCA,23.90,-0.52,-2.13%,0,91,,,Energy
SGJH.DU,Sinopec Shanghai Petrochemical Co Ltd,0.1446,0.0,0.00%,"50,000",0,,,Energy
IUQ.SG,Denison Mines Corp,1.1085,-0.0115,-1.03%,"1,000","2,784",,,Energy
08T.BE,Tourmaline Oil Corp,42.02,1.06,+2.59%,500,0,,,Energy
0UK.SG,UK Oil & Gas PLC,0.0010,0.0005,+100.00%,"100,000","37,280",,,Energy
L4R.MU,Laramide Resources Ltd,0.2905,0.0,0.00%,"5,200",0,,,Energy
0A1.BE,PT ABM Investama Tbk,0.1860,-0.003,-1.59%,0,0,,,Energy
R9N.MU,Razor Energy Corp,0.4830,-0.008,-1.63%,"10,000",350,,,Energy
ATI.SG,Athabasca Oil Corp,1.9155,0.026,+1.38%,0,123,,,Energy
IO0.HA,Ichor Coal N.V.,0.0400,0.0,0.00%,"5,000",0,,,Energy
GEVA.BE,Sino Oil and Gas Holdings Ltd,0.0080,0.0,0.00%,0,0,,,Energy
DO10.MU,Diamond Offshore Drilling Inc,11.18,0.12,+1.08%,200,3,,,Energy
YZCA.MU,Yankuang Energy Group Co Ltd,2.4300,0.05,+2.10%,"1,405",0,,,Energy
P5X.MU,Purepoint Uranium Group Inc,0.0394,-0.0006,-1.50%,"5,000","6,726",,,Energy
N4Q1.BE,Hemisphere Energy Corp,0.8500,-0.01,-1.16%,200,0,,,Energy
CTV.MU,Helix Energy Solutions Group Inc,6.30,-0.05,-0.79%,270,0,,,Energy
BMI.DU,BP Prudhoe Bay Royalty Trust,5.03,0.1,+1.93%,250,0,,,Energy
C5X.BE,Crew Energy Inc,3.3290,-0.02,-0.60%,"1,800",0,,,Energy
XCQ.BE,Coterra Energy Inc,22.68,0.51,+2.30%,196,3,,,Energy
WMB.DU,Williams Companies Inc,27.44,-0.59,-2.10%,100,11,,,Energy
PUR.SG,Paladin Energy Ltd,0.4556,0.0148,+3.36%,0,816,,,Energy
OCW.MU,Euronav NV,14.91,0.01,+0.07%,150,0,,,Energy
ORL.DU,Origin Energy Ltd,5.26,0.0,0.00%,17,9,,,Energy
JTJ2.BE,Scirocco Energy PLC,0.0025,0.0,0.00%,0,0,,,Energy
KIO.SG,Fitzroy River Corp Ltd,0.0755,-0.0035,-4.43%,0,0,,,Energy
B5R.DU,Berkeley Energia Ltd,0.3090,0.014,+4.75%,"6,000",105,,,Energy
6LLN.MU,ALX Resources Corp,0.0140,0.0,0.00%,"31,800",0,,,Energy
C9J.DU,Central Petroleum Ltd,0.0255,0.0,0.00%,"82,000",0,,,Energy
JMI.BE,Deep Yellow Ltd,0.4936,0.027,+5.79%,"3,000",52,,,Energy
B5R.DU,Berkeley Energia Ltd,0.3090,0.014,+4.75%,"6,000",105,,,Energy
H73.MU,Africa Energy Corp,0.0899,0.0,0.00%,"29,700","1,856",,,Energy
O2C.SG,Petro Welt Technologies AG,2.1000,0.0,0.00%,0,78,,,Energy
BPS.SG,Beach Energy Ltd,0.8150,0.02,+2.52%,0,0,,,Energy
HA3.BE,Petro Matad Ltd,0.0315,-0.004,-11.27%,"15,000","3,771",,,Energy
8P2N.MU,ROK Resources Inc,0.2080,0.008,+4.00%,20,718,,,Energy
FAC.MU,Falcon Oil & Gas Ltd,0.1240,0.0,0.00%,"1,000",350,,,Energy
SGJH.HA,Sinopec Shanghai Petrochemical Co Ltd,0.1360,0.0,0.00%,,0,,,Energy
C8SN.MU,Canuc Resources Corp,0.0665,0.0,0.00%,500,0,,,Energy
CPD.SG,Cadogan Petroleum PLC,0.0120,0.0005,+4.35%,0,140,,,Energy
P0BR.BE,Permian Basin Royalty Trust,21.00,-1.4,-6.25%,110,0,,,Energy
OCW.MU,Euronav NV,14.91,0.01,+0.07%,150,0,,,Energy
VU1.SG,Aura Energy Ltd,0.1162,0.006,+5.44%,0,0,,,Energy
1I8.SG,Kibo Energy PLC,0.0005,0.0,0.00%,0,0,,,Energy
C5X.BE,Crew Energy Inc,3.3290,-0.02,-0.60%,"1,800",0,,,Energy
CTV.MU,Helix Energy Solutions Group Inc,6.30,-0.05,-0.79%,270,0,,,Energy
DO10.MU,Diamond Offshore Drilling Inc,11.18,0.12,+1.08%,200,3,,,Energy
P5X.MU,Purepoint Uranium Group Inc,0.0394,-0.0006,-1.50%,"5,000","6,726",,,Energy
XCQ.BE,Coterra Energy Inc,22.68,0.51,+2.30%,196,3,,,Energy
WMB.DU,Williams Companies Inc,27.44,-0.59,-2.10%,100,11,,,Energy
N4Q1.BE,Hemisphere Energy Corp,0.8500,-0.01,-1.16%,200,0,,,Energy
YZCA.MU,Yankuang Energy Group Co Ltd,2.4300,0.05,+2.10%,"1,405",0,,,Energy
BMI.DU,BP Prudhoe Bay Royalty Trust,5.03,0.1,+1.93%,250,0,,,Energy
PUR.SG,Paladin Energy Ltd,0.4556,0.0148,+3.36%,0,816,,,Energy
VD5N.F,Zephyr Energy PLC,0.0320,0.0,0.00%,"10,000",175,,,Energy
ORL.DU,Origin Energy Ltd,5.26,0.0,0.00%,17,9,,,Energy
LYK1.SG,Parkmead Group (The) PLC,0.2020,0.0,0.00%,0,0,,,Energy
JTJ2.BE,Scirocco Energy PLC,0.0025,0.0,0.00%,0,0,,,Energy
TPIG.MU,IRPC PCL,0.0625,0.0,0.00%,60,1,,,Energy
L33.MU,Dolphin Drilling AS,0.9880,0.0,0.00%,,0,,,Energy
B2W.SG,Borr Drilling Ltd,6.31,0.07,+1.12%,0,0,,,Energy
A3R.SG,Angus Energy PLC,0.0115,0.0015,+15.00%,0,0,,,Energy
59U.MU,Uranium Royalty Corp,1.9940,0.0,0.00%,"5,000",41,,,Energy
WIQ.SG,Clean Energy Fuels Corp,4.0400,-0.055,-1.34%,0,290,,,Energy
V1L.DE,Valero Energy Corp,104.30,0.8,+0.77%,23,61,,,Energy
POQ.HM,88 Energy Ltd,0.0041,0.0,0.00%,"500,000","62,141",,,Energy
P5X.SG,Purepoint Uranium Group Inc,0.0280,-0.0048,-14.63%,0,"2,417",,,Energy
A3O0.SG,Enservco Corp,0.3620,0.01,+2.84%,0,868,,,Energy
NVG.SG,NuVista Energy Ltd,7.50,0.05,+0.73%,0,17,,,Energy
CVZ.SG,Vermilion Energy Inc,11.25,-0.14,-1.23%,0,27,,,Energy
RD31.DU,Royal Helium Ltd,0.2420,0.0035,+1.47%,,0,,,Energy
X42.DU,F3 Uranium Corp,0.2330,0.001,+0.43%,"3,500",662,,,Energy
IUQ.DU,Denison Mines Corp,1.1010,-0.0325,-2.87%,"5,000",87,,,Energy
7MR.DU,Matador Resources Co,45.70,-0.68,-1.47%,,0,,,Energy
EI1.SG,Labrador Uranium Inc,0.1795,0.008,+4.66%,"1,000","11,676",,,Energy
A0U.SG,Azincourt Energy Corp,0.0265,-0.0005,-1.85%,0,8,,,Energy
B5R.HM,Berkeley Energia Ltd,0.3010,-0.009,-2.90%,900,0,,,Energy
TB8A.BE,Afentra PLC,0.2780,-0.008,-2.80%,0,0,,,Energy
0YT.SG,Hunting PLC,2.4000,0.04,+1.69%,0,1,,,Energy
G1V.MU,MC Mining Ltd,0.0995,0.0,0.00%,"20,700",363,,,Energy
R9N.BE,Razor Energy Corp,0.4660,-0.013,-2.71%,"2,000",0,,,Energy
8RC.SG,ARC Resources Ltd,11.90,0.23,+1.95%,333,30,,,Energy
4RS.F,Reach Subsea ASA,0.3180,-0.001,-0.31%,"10,000",0,,,Energy
SJL.SG,SM Energy Co,26.13,1.11,+4.44%,0,0,,,Energy
R6C0.BE,Shell PLC,27.59,0.0,+0.02%,873,260,,,Energy
XE3.MU,Ithaca Energy PLC,1.7200,-0.01,-0.58%,"1,000",38,,,Energy
ENI.SG,Eni SpA,13.00,-0.03,-0.21%,554,"2,377",,,Energy
DNQ.BE,Equinor ASA,28.06,0.57,+2.07%,500,281,,,Energy
CTJ1.MU,Kunlun Energy Co Ltd,0.7050,-0.005,-0.70%,"1,000",0,,,Energy
N4Q1.F,Hemisphere Energy Corp,0.8500,-0.01,-1.16%,880,423,,,Energy
19O.BE,Overseas Shipholding Group Inc,3.5200,0.0,0.00%,"4,200",0,,,Energy
CHU.MU,China Petroleum & Chemical Corp,0.5420,-0.014,-2.52%,"8,200",703,,,Energy
QPX.DU,Parex Resources Inc,18.68,-0.12,-0.64%,600,0,,,Energy
9TG.MU,Gaztransport et technigaz SA,92.00,0.0,0.00%,10,19,,,Energy
TRS.DU,TC Energy Corp,37.22,-0.42,-1.12%,100,0,,,Energy
UWV.MU,W&T Offshore Inc,3.6800,0.04,+1.10%,"1,500",0,,,Energy
RZ8G.BE,SNGN Romgaz SA,7.05,-0.45,-6.00%,"1,500",49,,,Energy
DCC.HA,DCC PLC,53.50,0.0,0.00%,10,0,,,Energy
R66.BE,Phillips 66,88.64,0.06,+0.07%,18,2,,,Energy
TOTA.DU,TotalEnergies SE,52.50,-1.0,-1.87%,5,0,,,Energy
OMVI.MU,OMV AG,39.20,0.0,0.00%,100,34,,,Energy
DQU.MU,Dril-Quip Inc,22.00,0.0,0.00%,,0,,,Energy
RAX.SG,Range Resources Corp,26.23,1.71,+6.97%,80,3,,,Energy
PE1.SG,Patterson-UTI Energy Inc,11.00,0.9,+8.91%,0,2,,,Energy
7DB.HA,Diamondback Energy Inc,115.44,-1.08,-0.93%,2,0,,,Energy
KOS1.BE,Kosmos Energy Ltd,5.62,0.07,+1.26%,50,0,,,Energy
0V4.BE,Valvoline Inc,33.00,-0.6,-1.79%,176,0,,,Energy
4CU.BE,Centrus Energy Corp,32.40,0.4,+1.25%,500,0,,,Energy
PTTG.SG,PTT Exploration & Production PCL,3.9200,0.04,+1.03%,0,17,,,Energy
R4Y.MU,Rockhopper Exploration PLC,0.1600,0.0,0.00%,"1,000",0,,,Energy
OMV.HM,OMV AG,39.82,0.82,+2.10%,160,24,,,Energy
9WY.DU,Texas Pacific Land Corp,"1,234.00",0.0,0.00%,3,0,,,Energy
7EX.MU,Enerflex Ltd,5.65,-0.05,-0.88%,,0,,,Energy
HLPN.BE,Hellenic Petroleum Holdings Societe Anonyme,8.16,0.07,+0.87%,100,0,,,Energy
FL9.SG,CVR Energy Inc,25.46,0.34,+1.35%,0,90,,,Energy
NEF.MU,Neste Corp,40.85,-0.06,-0.15%,230,4,,,Energy
ATI.BE,Athabasca Oil Corp,1.9445,0.012,+0.62%,530,0,,,Energy
BYN.SG,Rubis SCA,4.2400,0.02,+0.47%,0,0,,,Energy
TRS.BE,TC Energy Corp,37.21,-0.46,-1.21%,14,0,,,Energy
OS70.BE,Chord Energy Corp,138.40,-0.4,-0.29%,20,0,,,Energy
TAR.BE,Targa Resources Corp,65.34,0.06,+0.09%,1,0,,,Energy
G1P0.MU,Gran Tierra Energy Inc,4.9600,0.0,0.00%,500,11,,,Energy
88S1.SG,Sound Energy PLC,0.0180,0.0,0.00%,0,"8,614",,,Energy
JAV.SG,Esso Thailand PCL,0.2260,-0.002,-0.88%,0,0,,,Energy
1AKA.BE,Aker Solutions ASA,3.1960,0.014,+0.44%,39,1,,,Energy
9TA1.MU,Tamarack Valley Energy Ltd,2.2600,0.0,0.00%,,0,,,Energy
TP21.SG,Tethys Petroleum Ltd,0.4360,0.0,0.00%,0,0,,,Energy
R66.HA,Phillips 66,87.92,0.48,+0.55%,40,0,,,Energy
D8EN.SG,DHT Holdings Inc,8.00,-0.22,-2.62%,0,185,,,Energy
TOTB.SG,TotalEnergies SE,54.11,0.33,+0.61%,"1,111","1,766",,,Energy
XONA.HA,Exxon Mobil Corp,96.66,-0.54,-0.56%,10,6,,,Energy
NK1A.SG,DNO ASA,0.8820,-0.001,-0.11%,"6,000",52,,,Energy
G1V.MU,MC Mining Ltd,0.0995,0.0,0.00%,"20,700",363,,,Energy
